method,cbl_mean,cbl_std,aulc_normalized_mean,aulc_normalized_std,kendalls_tau_mean,kendalls_tau_std,mrr_mean,mrr_std,precision_at_3_mean,precision_at_3_std,map_mean,map_std,ndcg_1_mean,ndcg_1_std,ndcg_3_mean,ndcg_3_std,ndcg_5_mean,ndcg_5_std
B10_pairwise,1243.8792897712165,795.4455286599767,-0.7757587852931341,10.63389474968002,0.2525925925925926,0.38644604609058736,0.7383597883597883,0.29960534489568347,0.6925925925925925,0.28367033396441044,1.0,0.0,0.9455801824530231,0.08824297053870082,0.9768019209340026,0.03298391055131036,0.98186900032829,0.028398937480275856
B11_closeness,1480.3165601322894,896.8796505452675,1.8480711600425443,13.026621653310428,-0.11629629629629627,0.32731224479116955,0.4474074074074074,0.3142144467497662,0.6111111111111112,0.3008518907615198,1.0,0.0,0.6453968940389697,0.31355917207955997,0.7633462633029042,0.18025321211822862,0.8135193418944245,0.13499999192587514
B12_eigenvector,1556.6261531012901,952.3091143820872,2.983513702866705,18.977562754684843,-0.3237037037037037,0.34018020079210726,0.3341269841269841,0.23807918618977839,0.4814814814814815,0.4213737450133131,1.0,0.0,0.6731146484302034,0.2638801170360208,0.7341933523076354,0.17654070694678894,0.7993459169135726,0.13349411166652944
B1_random,1493.5134795749555,937.4092692269629,-1.2310291405955545,15.622369578472822,0.024938271604938268,0.4427787485241047,0.4365784832451499,0.29164379031731,0.6481481481481481,0.33654301549160487,1.0,0.0,0.620273528586439,0.3023009845377027,0.7425133055441604,0.20249336216821162,0.8081312689303088,0.16806345767528202
B2_severity,1293.2449949110096,806.0576019801009,0.46174311834051773,5.647709934847564,0.4382716049382716,0.3742736475407753,0.7987037037037036,0.29356634193094705,0.7888888888888889,0.22037308055139224,1.0,0.0,0.9250274014710447,0.1493336936716316,0.9387991546047213,0.06355009001556539,0.9474374487919621,0.054761833546639764
B3_itil,1237.938365174775,786.1566264023845,0.11527808127674334,10.628600914121291,0.29703703703703704,0.34623312305850173,0.812962962962963,0.278581857444073,0.6814814814814815,0.2822732365151041,1.0,0.0,0.9456079588546356,0.09499134377348945,0.9760028487092032,0.02922817543063021,0.9783934164082875,0.027771182863199552
B4_pagerank,1460.0597694650796,878.0661483800039,1.727267078517004,12.834634860635985,-0.14222222222222222,0.3414947599972253,0.44949735449735445,0.29540772807696336,0.6222222222222222,0.2964627081579395,1.0,0.0,0.6150816424769919,0.31999343154623927,0.7213220825226999,0.21087667169573374,0.8031309375806838,0.1496895479020145
B5_betweenness,1335.4392236615092,799.6417314003436,0.6365416442575887,7.286380911625772,0.3214814814814815,0.4057322653001145,0.7953703703703703,0.30347578432474925,0.7259259259259259,0.28079509804408526,1.0,0.0,0.912252886234293,0.19312384807882588,0.9103485167500465,0.08545457073858782,0.9264028219801758,0.06606686158251798
B6_ppr,1539.7782500738563,942.4541217815306,2.7247731649406695,15.473207341925136,-0.2622222222222222,0.38078701600835785,0.3354232804232804,0.21765551656992144,0.5037037037037038,0.42176859789865145,1.0,0.0,0.5545104387123558,0.2849651559264149,0.7083408894470095,0.19408080668549915,0.7685624752268693,0.16826466999895862
B7_classifier,1252.745951980617,782.946155261796,-0.2550208087407064,7.703011581184179,0.1691358024691358,0.3758368948854789,0.5931481481481481,0.27798874635298493,0.637037037037037,0.33011345397528363,1.0,0.0,0.8696495628854783,0.11594826025033426,0.9506399749558383,0.041954685944404976,0.9589148285168964,0.04099359571460156
B9_independent,1316.9957882201982,829.2958158134745,1.248904126517638,9.954248017537385,0.22148148148148147,0.3402519608540556,0.8124074074074074,0.29586793447606063,0.6962962962962963,0.2810913475705227,1.0,0.0,0.9232991872309458,0.1838244726146456,0.9321033398774616,0.08045405490206473,0.9524492294857907,0.05587501793770458
BLAST,1298.2301041474325,779.4163102088536,-0.3305282121696982,1.8635802296263089,0.5185185185185185,0.42559269745309153,0.8138888888888889,0.29563248179899265,0.9074074074074074,0.17329715682532063,1.0,0.0,0.9232991872309458,0.1838244726146456,0.8786673424960538,0.10030876553523055,0.9062330666739895,0.08858072337735763
