service,fault_type,capability_id,capability,n_reps,max_magnitude,value_per_min,weighted_max_magnitude
ts-order-service,delay,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-order-service,delay,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-order-service,delay,contact_management,Contact Management,3,0.0,20.0,0.0
ts-order-service,delay,food_ordering,Food Ordering,3,0.0,15.0,0.0
ts-order-service,delay,admin_configuration,Admin Configuration,3,0.0,5.0,0.0
ts-order-service,disk,ticket_reservation,Ticket Reservation,3,0.578125,100.0,57.8125
ts-order-service,disk,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-order-service,disk,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-order-service,disk,trip_search,Trip Search,3,0.3169230769230768,60.0,19.01538461538461
ts-order-service,disk,order_management,Order Management,3,0.7756862745098039,40.0,31.027450980392153
ts-order-service,disk,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-order-service,disk,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-order-service,disk,contact_management,Contact Management,3,0.0,20.0,0.0
ts-order-service,disk,food_ordering,Food Ordering,3,0.0,15.0,0.0
ts-order-service,disk,admin_configuration,Admin Configuration,3,0.2966182048040455,5.0,1.4830910240202275
ts-order-service,loss,ticket_reservation,Ticket Reservation,3,0.8954451345755694,100.0,89.54451345755695
ts-order-service,loss,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-order-service,loss,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-order-service,loss,trip_search,Trip Search,3,0.5197735114571354,60.0,31.186410687428122
ts-order-service,loss,order_management,Order Management,3,0.8297029702970298,40.0,33.18811881188119
ts-order-service,loss,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-order-service,loss,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-order-service,loss,contact_management,Contact Management,3,0.0,20.0,0.0
ts-order-service,loss,food_ordering,Food Ordering,3,0.0,15.0,0.0
ts-order-service,loss,admin_configuration,Admin Configuration,3,0.0,5.0,0.0
ts-order-service,mem,ticket_reservation,Ticket Reservation,3,0.979328165374677,100.0,97.9328165374677
ts-order-service,mem,payment_processing,Payment Processing,3,0.3615819209039548,100.0,36.15819209039548
ts-order-service,mem,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-order-service,mem,trip_search,Trip Search,3,0.6409919152592904,60.0,38.45951491555743
ts-order-service,mem,order_management,Order Management,3,1.0,40.0,40.0
ts-order-service,mem,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-order-service,mem,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-order-service,mem,contact_management,Contact Management,3,0.0,20.0,0.0
ts-order-service,mem,food_ordering,Food Ordering,3,0.0,15.0,0.0
ts-order-service,mem,admin_configuration,Admin Configuration,3,0.3419546636937942,5.0,1.709773318468971
ts-order-service,socket,ticket_reservation,Ticket Reservation,3,0.9939148073022313,100.0,99.39148073022312
ts-order-service,socket,payment_processing,Payment Processing,3,0.7694361027694361,100.0,76.9436102769436
ts-order-service,socket,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-order-service,socket,trip_search,Trip Search,3,0.9667327605199384,60.0,58.0039656311963
ts-order-service,socket,order_management,Order Management,3,0.997067986072934,40.0,39.88271944291736
ts-order-service,socket,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-order-service,socket,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-order-service,socket,contact_management,Contact Management,3,0.0,20.0,0.0
ts-order-service,socket,food_ordering,Food Ordering,3,0.2126131221719456,15.0,3.189196832579184
ts-order-service,socket,admin_configuration,Admin Configuration,3,0.2485562485562484,5.0,1.242781242781242
ts-route-service,cpu,ticket_reservation,Ticket Reservation,3,0.927950310559006,100.0,92.7950310559006
ts-route-service,cpu,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-route-service,cpu,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-route-service,cpu,trip_search,Trip Search,3,0.9714298564481908,60.0,58.28579138689145
ts-route-service,cpu,order_management,Order Management,3,0.9237961664329126,40.0,36.95184665731651
ts-route-service,cpu,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-route-service,cpu,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-route-service,cpu,contact_management,Contact Management,3,0.0,20.0,0.0
ts-route-service,cpu,food_ordering,Food Ordering,3,0.7126134996171096,15.0,10.689202494256644
ts-route-service,cpu,admin_configuration,Admin Configuration,3,0.9998343685300206,5.0,4.999171842650103
ts-route-service,delay,ticket_reservation,Ticket Reservation,3,1.0,100.0,100.0
ts-route-service,delay,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-route-service,delay,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-route-service,delay,trip_search,Trip Search,3,1.0,60.0,60.0
ts-route-service,delay,order_management,Order Management,3,0.8687642866747345,40.0,34.75057146698938
ts-route-service,delay,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-route-service,delay,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-route-service,delay,contact_management,Contact Management,3,0.0,20.0,0.0
ts-route-service,delay,food_ordering,Food Ordering,3,1.0,15.0,15.0
ts-route-service,delay,admin_configuration,Admin Configuration,3,1.0,5.0,5.0
ts-route-service,disk,ticket_reservation,Ticket Reservation,3,0.608819345661451,100.0,60.881934566145105
ts-route-service,disk,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-route-service,disk,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-route-service,disk,trip_search,Trip Search,3,0.6910322009771861,60.0,41.46193205863116
ts-route-service,disk,order_management,Order Management,3,0.9647058823529412,40.0,38.588235294117645
ts-route-service,disk,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-route-service,disk,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-route-service,disk,contact_management,Contact Management,3,0.0,20.0,0.0
ts-route-service,disk,food_ordering,Food Ordering,3,0.3772456010828104,15.0,5.658684016242156
ts-route-service,disk,admin_configuration,Admin Configuration,3,0.5635635635635636,5.0,2.817817817817818
ts-route-service,loss,ticket_reservation,Ticket Reservation,3,0.8622159090909092,100.0,86.22159090909092
ts-route-service,loss,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-route-service,loss,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-route-service,loss,trip_search,Trip Search,3,0.732003487862863,60.0,43.920209271771775
ts-route-service,loss,order_management,Order Management,3,0.8886831275720164,40.0,35.547325102880656
ts-route-service,loss,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-route-service,loss,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-route-service,loss,contact_management,Contact Management,3,0.0,20.0,0.0
ts-route-service,loss,food_ordering,Food Ordering,3,0.2803869558433454,15.0,4.20580433765018
ts-route-service,loss,admin_configuration,Admin Configuration,3,0.860632183908046,5.0,4.30316091954023
ts-route-service,mem,ticket_reservation,Ticket Reservation,3,0.966547192353644,100.0,96.6547192353644
ts-route-service,mem,payment_processing,Payment Processing,3,0.0,100.0,0.0
