scenario_id,k,method,cbl,cbl_oracle,aulc_normalized,kendalls_tau,mrr,precision_at_3,ndcg_1,ndcg_3,ndcg_5
scenario_k3_001,3,BLAST,750.3598886608971,591.911882483277,-1.2692283036834227,-1.0,0.3333333333333333,1.0,0.683255977754111,0.8531204888278989,0.8531204888278989
scenario_k3_001,3,B1_random,750.3598886608971,591.911882483277,-1.2692283036834227,-0.33333333333333337,0.3333333333333333,1.0,0.1841432155715034,0.7321825073483541,0.7321825073483541
scenario_k3_001,3,B2_severity,467.07381692975235,591.911882483277,1.0,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
scenario_k3_001,3,B3_itil,467.07381692975235,591.911882483277,1.0,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
scenario_k3_001,3,B4_pagerank,671.1358855720871,591.911882483277,-0.6346141518417113,0.33333333333333337,0.5,1.0,0.1841432155715034,0.7594096322718703,0.7594096322718703
scenario_k3_001,3,B6_ppr,671.1358855720871,591.911882483277,-0.6346141518417113,0.33333333333333337,0.5,1.0,0.1841432155715034,0.7594096322718703,0.7594096322718703
scenario_k3_001,3,B7_classifier,467.07381692975235,591.911882483277,1.0,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
scenario_k3_001,3,B9_independent,750.3598886608971,591.911882483277,-1.2692283036834227,-1.0,0.3333333333333333,1.0,0.683255977754111,0.8531204888278989,0.8531204888278989
scenario_k3_002,3,BLAST,719.8242799903987,792.3784648552759,-2.9207559395036884,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
scenario_k3_002,3,B1_random,744.665172679709,792.3784648552759,-1.920755939503693,-0.33333333333333337,0.5,1.0,0.8821027327598281,0.9767270839070377,0.9767270839070377
scenario_k3_002,3,B2_severity,719.8242799903987,792.3784648552759,-2.9207559395036884,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
scenario_k3_002,3,B3_itil,719.8242799903987,792.3784648552759,-2.9207559395036884,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
scenario_k3_002,3,B4_pagerank,744.665172679709,792.3784648552759,-1.920755939503693,-0.33333333333333337,0.5,1.0,0.8821027327598281,0.9767270839070377,0.9767270839070377
scenario_k3_002,3,B6_ppr,850.6490919864309,792.3784648552759,2.345754150623991,-1.0,0.3333333333333333,1.0,0.8821027327598281,0.9505520550891456,0.9505520550891456
