metric,baseline,n_scenarios,blast_mean,baseline_mean,wilcoxon_stat,p_value_raw,cliffs_delta,higher_is_better,p_value_holm,statistically_significant_win,practically_significant,blast_significantly_better
ndcg_5,B1_random,90,0.9062330666739893,0.8081312689303086,468.0,2.568997030925009e-09,0.35358024691358025,True,1.2844985154625046e-08,True,True,True
ndcg_5,B2_severity,90,0.9062330666739893,0.9474374487919621,329.0,3.247927607493622e-08,-0.24061728395061732,True,9.743782822480867e-08,False,True,False
ndcg_5,B3_itil,90,0.9062330666739893,0.9783934164082876,136.0,1.7022324127132679e-12,-0.5067901234567902,True,1.7022324127132678e-11,False,True,False
ndcg_5,B4_pagerank,90,0.9062330666739893,0.8031309375806835,405.0,4.574173809741746e-10,0.4339506172839507,True,3.2019216668192224e-09,True,True,True
ndcg_5,B5_betweenness,90,0.9062330666739893,0.9264028219801755,758.0,0.011219184474359876,-0.08296296296296302,True,0.011219184474359876,False,False,False
ndcg_5,B6_ppr,90,0.9062330666739893,0.7685624752268693,260.0,1.0101614577387577e-12,0.5148148148148148,True,1.1111776035126335e-11,True,True,True
ndcg_5,B7_classifier,90,0.9062330666739893,0.9589148285168964,650.0,2.4757603556213576e-07,-0.27987654320987654,True,4.951520711242715e-07,False,True,False
ndcg_5,B9_independent,90,0.9062330666739893,0.9524492294857907,194.0,5.789194518854226e-09,-0.27987654320987654,True,2.3156778075416904e-08,False,True,False
ndcg_5,B10_pairwise,90,0.9062330666739893,0.9818690003282899,241.0,9.149685693854848e-12,-0.5519753086419753,True,8.234717124469363e-11,False,True,False
ndcg_5,B11_closeness,90,0.9062330666739893,0.8135193418944245,449.0,5.630169445567921e-10,0.43234567901234566,True,3.378101667340753e-09,True,True,True
ndcg_5,B12_eigenvector,90,0.9062330666739893,0.7993459169135728,449.0,1.2604640743996945e-10,0.48049382716049394,True,1.0083712595197556e-09,True,True,True
cbl,B1_random,90,1298.2301041474323,1493.513479574955,380.0,2.2591676080365337e-10,-0.1551851851851852,False,1.5814173256255736e-09,True,True,True
cbl,B2_severity,90,1298.2301041474323,1293.2449949110098,1151.0,0.36034597372299004,0.011358024691358048,False,0.36034597372299004,False,False,False
cbl,B3_itil,90,1298.2301041474323,1237.938365174775,680.0,1.090706465932907e-05,0.07567901234567898,False,6.544238795597442e-05,False,False,False
cbl,B4_pagerank,90,1298.2301041474323,1460.0597694650796,370.0,1.698147880344872e-10,-0.16876543209876538,False,1.3585183042758976e-09,True,True,True
cbl,B5_betweenness,90,1298.2301041474323,1335.4392236615092,679.0,0.0025401714031540006,-0.0444444444444444,False,0.007620514209462002,True,False,False
cbl,B6_ppr,90,1298.2301041474323,1539.7782500738563,270.0,1.3586548325733977e-12,-0.20999999999999996,False,1.3586548325733978e-11,True,True,True
cbl,B7_classifier,90,1298.2301041474323,1252.7459519806168,1081.0,0.0010717320472452736,0.05098765432098773,False,0.004286928188981094,False,False,False
cbl,B9_independent,90,1298.2301041474323,1316.9957882201982,892.0,0.1726130969167765,-0.013580246913580285,False,0.345226193833553,False,False,False
cbl,B10_pairwise,90,1298.2301041474323,1243.8792897712165,818.0,2.673583558159207e-05,0.06851851851851842,False,0.00013367917790796036,False,False,False
cbl,B11_closeness,90,1298.2301041474323,1480.3165601322894,352.0,3.8175186177519736e-11,-0.18333333333333335,False,3.4357667559767764e-10,True,True,True
cbl,B12_eigenvector,90,1298.2301041474323,1556.6261531012901,276.0,1.0186390373077963e-12,-0.21333333333333337,False,1.1205029410385759e-11,True,True,True
