value_model,scenario_id,k,cbl_blast,cbl_b9,ndcg5_blast,ndcg5_b9
revenue_weighted,scenario_k3_001,3,750.3598886608971,750.3598886608971,0.8531204888278989,0.8531204888278989
revenue_weighted,scenario_k3_002,3,719.8242799903986,719.8242799903986,1.0,1.0
revenue_weighted,scenario_k3_003,3,736.0757348978591,847.7696626495551,0.9771004942267736,0.9492849180419998
revenue_weighted,scenario_k3_004,3,801.0889353978948,801.0889353978948,0.9785811466677912,0.9785811466677912
revenue_weighted,scenario_k3_005,3,292.7198932003719,292.7198932003719,1.0,1.0
revenue_weighted,scenario_k3_006,3,434.50705951150326,434.50705951150326,1.0,1.0
revenue_weighted,scenario_k3_007,3,798.8210663166413,823.2953644830982,0.9756570378312251,0.8898536997872722
revenue_weighted,scenario_k3_008,3,341.7917971998646,341.7917971998646,1.0,1.0
revenue_weighted,scenario_k3_009,3,827.8311026456054,827.8311026456054,0.9702877892347537,0.9702877892347537
revenue_weighted,scenario_k3_010,3,358.97848748906176,358.97848748906176,1.0,1.0
revenue_weighted,scenario_k3_011,3,257.8263824264341,257.8263824264341,0.9911111359817338,0.9911111359817338
revenue_weighted,scenario_k3_012,3,408.5541073899003,408.5541073899003,1.0,1.0
revenue_weighted,scenario_k3_013,3,354.84326794071956,354.84326794071956,1.0,1.0
revenue_weighted,scenario_k3_014,3,518.3703559221466,631.0240934528013,1.0,0.9017867548866363
revenue_weighted,scenario_k3_015,3,437.887868624175,437.887868624175,1.0,1.0
revenue_weighted,scenario_k3_016,3,406.0574805639661,406.0574805639661,0.9891812231211791,0.9891812231211791
revenue_weighted,scenario_k3_017,3,374.76525964027167,374.76525964027167,0.9873795538333673,0.9873795538333673
revenue_weighted,scenario_k3_018,3,710.4235836104336,851.9571512887258,1.0,0.9653475288604145
revenue_weighted,scenario_k3_019,3,322.5342651080668,322.5342651080668,0.9970946801768481,0.9970946801768481
revenue_weighted,scenario_k3_020,3,331.28482230574514,331.28482230574514,1.0,1.0
revenue_weighted,scenario_k3_021,3,318.40560575000694,318.40560575000694,1.0,1.0
revenue_weighted,scenario_k3_022,3,784.2686546639356,784.2686546639356,0.9803279394622841,0.9803279394622841
revenue_weighted,scenario_k3_023,3,638.6629986118629,638.6629986118629,0.9632126031280454,0.9632126031280454
revenue_weighted,scenario_k3_024,3,502.7368801390939,502.7368801390939,1.0,1.0
revenue_weighted,scenario_k3_025,3,799.7626213344756,799.7626213344756,0.9494571720119201,0.9494571720119201
revenue_weighted,scenario_k3_026,3,216.9538540427866,216.9538540427866,1.0,1.0
revenue_weighted,scenario_k3_027,3,740.6584807745329,717.090394444612,0.9779292339984588,1.0
revenue_weighted,scenario_k3_028,3,625.462064008562,625.4438092474377,0.9999862940423215,1.0
revenue_weighted,scenario_k3_029,3,656.3081405356209,656.3081405356209,0.9679445901627005,0.9679445901627005
revenue_weighted,scenario_k3_030,3,532.4149418442121,532.4149418442121,0.9218267024114613,0.9218267024114613
revenue_weighted,scenario_k5_001,5,976.4586341019555,978.4437252934192,0.9688032905297801,0.9902760873501723
revenue_weighted,scenario_k5_002,5,1099.7602192016373,1099.7602192016373,0.9552515015329063,0.9554968996079304
revenue_weighted,scenario_k5_003,5,985.7768174583754,986.5603878410893,0.9701014013949535,0.9908351970528176
revenue_weighted,scenario_k5_004,5,793.4048186869114,905.0987464386075,0.9781276624626083,0.8985414142127157
revenue_weighted,scenario_k5_005,5,560.3697170651872,671.0201086432537,1.0,0.9056070566666129
revenue_weighted,scenario_k5_006,5,923.388568659124,923.3703138979996,0.9999893234419694,1.0
revenue_weighted,scenario_k5_007,5,444.92663875516297,534.5082852967768,1.0,0.9102668804205641
revenue_weighted,scenario_k5_008,5,1058.1798864416326,1181.885133772872,0.9748561902886392,0.8892192393624091
revenue_weighted,scenario_k5_009,5,676.8413791060209,676.8413791060209,0.972512961273742,0.972512961273742
revenue_weighted,scenario_k5_010,5,658.6355350157841,658.6355350157841,0.9956809083415338,0.9956809083415338
revenue_weighted,scenario_k5_011,5,1111.7208684521179,1113.7059596435815,0.977615508683513,0.976394923549843
revenue_weighted,scenario_k5_012,5,1082.4032702602308,1196.3650670931804,0.9724888438464933,0.8981676396838283
revenue_weighted,scenario_k5_013,5,843.1198296903952,875.5897543532813,0.9736606681727517,0.8771137091978572
revenue_weighted,scenario_k5_014,5,919.2648321315344,919.2648321315344,0.8817658641797125,0.8817658641797125
revenue_weighted,scenario_k5_015,5,1002.1535276934783,1004.4213967747319,0.9708372023483163,0.9909348878492074
revenue_weighted,scenario_k5_016,5,579.7259747673497,701.4277557740062,0.9980583089330545,0.892454829137864
revenue_weighted,scenario_k5_017,5,943.6510561091169,946.5881792351631,0.9667764385334355,0.8742958493377645
revenue_weighted,scenario_k5_018,5,785.4919218394882,749.8178963395468,0.9734287617301842,0.9988362927142671
revenue_weighted,scenario_k5_019,5,1188.6648344169307,1192.430985284078,0.9890877636405497,0.9081167739960664
revenue_weighted,scenario_k5_020,5,728.8343604874387,731.1022295686922,0.9982501570070841,0.9966399008979672
revenue_weighted,scenario_k5_021,5,971.9085716697838,1100.754791846274,0.9622617060380423,0.9524306423936423
revenue_weighted,scenario_k5_022,5,655.1339636945357,783.4048494922292,0.9987212251832185,0.8847482470161941
revenue_weighted,scenario_k5_023,5,571.9002215527579,688.0585775524526,0.9993304184150609,0.8974861090342108
revenue_weighted,scenario_k5_024,5,754.4277581421436,690.5030593469629,0.9900886252543238,0.9956391265750607
revenue_weighted,scenario_k5_025,5,812.8428260609012,812.8428260609012,0.8266264093124377,0.8266264093124377
