scenario_id,k,method,cbl,cbl_oracle,aulc_normalized,kendalls_tau,mrr,precision_at_3,map,ndcg_1,ndcg_3,ndcg_5
re2tt_scenario_k3_001,3,BLAST,469.75177463919823,436.73516510821077,0.2674212876703887,0.33333333333333337,0.5,1.0,1.0,0.8003029972230116,0.9585001086794644,0.9585001086794644
re2tt_scenario_k3_001,3,B1_random,523.972016833481,436.73516510821077,0.7065834909180274,-0.33333333333333337,0.5,1.0,1.0,0.5420536705771324,0.8857932167106389,0.8857932167106389
re2tt_scenario_k3_001,3,B2_severity,483.5829105148897,436.73516510821077,0.3794479378432389,0.33333333333333337,1.0,1.0,1.0,1.0,0.9809610091031501,0.9809610091031501
re2tt_scenario_k3_001,3,B3_itil,483.5829105148897,436.73516510821077,0.3794479378432389,0.33333333333333337,1.0,1.0,1.0,1.0,0.9809610091031501,0.9809610091031501
re2tt_scenario_k3_001,3,B4_pagerank,523.972016833481,436.73516510821077,0.7065834909180274,-0.33333333333333337,0.5,1.0,1.0,0.5420536705771324,0.8857932167106389,0.8857932167106389
re2tt_scenario_k3_001,3,B5_betweenness,469.75177463919823,436.73516510821077,0.2674212876703887,0.33333333333333337,0.5,1.0,1.0,0.8003029972230116,0.9585001086794644,0.9585001086794644
re2tt_scenario_k3_001,3,B6_ppr,523.972016833481,436.73516510821077,0.7065834909180274,-0.33333333333333337,0.5,1.0,1.0,0.5420536705771324,0.8857932167106389,0.8857932167106389
re2tt_scenario_k3_001,3,B7_classifier,483.5829105148897,436.73516510821077,0.3794479378432389,0.33333333333333337,1.0,1.0,1.0,1.0,0.9809610091031501,0.9809610091031501
re2tt_scenario_k3_001,3,B9_independent,469.75177463919823,436.73516510821077,0.2674212876703887,0.33333333333333337,0.5,1.0,1.0,0.8003029972230116,0.9585001086794644,0.9585001086794644
re2tt_scenario_k3_001,3,B10_pairwise,483.5829105148897,436.73516510821077,0.3794479378432389,0.33333333333333337,1.0,1.0,1.0,1.0,0.9809610091031501,0.9809610091031501
re2tt_scenario_k3_001,3,B11_closeness,483.5829105148897,436.73516510821077,0.3794479378432389,0.33333333333333337,1.0,1.0,1.0,1.0,0.9809610091031501,0.9809610091031501
re2tt_scenario_k3_001,3,B12_eigenvector,483.5829105148897,436.73516510821077,0.3794479378432389,0.33333333333333337,1.0,1.0,1.0,1.0,0.9809610091031501,0.9809610091031501
re2tt_scenario_k3_002,3,BLAST,733.0997978924861,733.0997978924861,-0.0,1.0,1.0,1.0,1.0,1.0,0.9727902695371201,0.9727902695371201
re2tt_scenario_k3_002,3,B1_random,794.1950933826824,733.0997978924861,-3.0161375455243276,-0.33333333333333337,0.3333333333333333,1.0,1.0,0.41251910274132175,0.8259664923083759,0.8259664923083759
re2tt_scenario_k3_002,3,B2_severity,649.7355547573216,733.0997978924861,4.115505484616822,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_002,3,B3_itil,649.7355547573216,733.0997978924861,4.115505484616822,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_002,3,B4_pagerank,712.8436608403625,733.0997978924861,1.0,-0.33333333333333337,0.5,1.0,1.0,0.7632845205933473,0.9482387431703162,0.9482387431703162
re2tt_scenario_k3_002,3,B5_betweenness,733.0997978924861,733.0997978924861,-0.0,1.0,1.0,1.0,1.0,1.0,0.9727902695371201,0.9727902695371201
re2tt_scenario_k3_002,3,B6_ppr,712.8436608403625,733.0997978924861,1.0,-0.33333333333333337,0.5,1.0,1.0,0.7632845205933473,0.9482387431703162,0.9482387431703162
re2tt_scenario_k3_002,3,B7_classifier,712.8436608403625,733.0997978924861,1.0,-0.33333333333333337,0.5,1.0,1.0,0.7632845205933473,0.9482387431703162,0.9482387431703162
re2tt_scenario_k3_002,3,B9_independent,649.7355547573216,733.0997978924861,4.115505484616822,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_002,3,B10_pairwise,649.7355547573216,733.0997978924861,4.115505484616822,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_002,3,B11_closeness,712.8436608403625,733.0997978924861,1.0,-0.33333333333333337,0.5,1.0,1.0,0.7632845205933473,0.9482387431703162,0.9482387431703162
re2tt_scenario_k3_002,3,B12_eigenvector,712.8436608403625,733.0997978924861,1.0,-0.33333333333333337,0.5,1.0,1.0,0.7632845205933473,0.9482387431703162,0.9482387431703162
re2tt_scenario_k3_003,3,BLAST,594.4455627099632,594.4455627099632,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_003,3,B1_random,674.9855303451773,594.4455627099632,,-0.33333333333333337,0.5,1.0,1.0,0.6790456384749495,0.924118270685849,0.924118270685849
re2tt_scenario_k3_003,3,B2_severity,594.4455627099632,594.4455627099632,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_003,3,B3_itil,594.4455627099632,594.4455627099632,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_003,3,B4_pagerank,675.3264190627331,594.4455627099632,,-0.33333333333333337,0.3333333333333333,1.0,1.0,0.8680873902248467,0.9519360459386846,0.9519360459386846
re2tt_scenario_k3_003,3,B5_betweenness,634.8624356812464,594.4455627099632,,0.33333333333333337,1.0,1.0,1.0,1.0,0.9868848758352837,0.9868848758352837
re2tt_scenario_k3_003,3,B6_ppr,606.7068070497251,594.4455627099632,,0.33333333333333337,0.5,1.0,1.0,0.8680873902248467,0.9742028534753459,0.9742028534753459
re2tt_scenario_k3_003,3,B7_classifier,606.7068070497251,594.4455627099632,,0.33333333333333337,0.5,1.0,1.0,0.8680873902248467,0.9742028534753459,0.9742028534753459
re2tt_scenario_k3_003,3,B9_independent,634.8624356812464,594.4455627099632,,0.33333333333333337,1.0,1.0,1.0,1.0,0.9868848758352837,0.9868848758352837
re2tt_scenario_k3_003,3,B10_pairwise,594.4455627099632,594.4455627099632,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_003,3,B11_closeness,675.3264190627331,594.4455627099632,,-0.33333333333333337,0.3333333333333333,1.0,1.0,0.8680873902248467,0.9519360459386846,0.9519360459386846
re2tt_scenario_k3_003,3,B12_eigenvector,675.3264190627331,594.4455627099632,,-0.33333333333333337,0.3333333333333333,1.0,1.0,0.8680873902248467,0.9519360459386846,0.9519360459386846
re2tt_scenario_k3_004,3,BLAST,685.9283459633552,605.2882912076777,-6.388690503618765,-1.0,0.3333333333333333,1.0,1.0,0.7818345045756202,0.9189912449033383,0.9189912449033383
re2tt_scenario_k3_004,3,B1_random,592.6659776506193,605.2882912076777,1.0,0.33333333333333337,0.5,1.0,1.0,0.5277780891659827,0.8818859868111243,0.8818859868111243
re2tt_scenario_k3_004,3,B2_severity,605.2882912076777,605.2882912076777,-0.0,1.0,1.0,1.0,1.0,1.0,0.9810698385703218,0.9810698385703218
re2tt_scenario_k3_004,3,B3_itil,558.1124912270808,605.2882912076777,3.737492320036381,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_004,3,B4_pagerank,592.6659776506193,605.2882912076777,1.0,0.33333333333333337,0.5,1.0,1.0,0.5277780891659827,0.8818859868111243,0.8818859868111243
re2tt_scenario_k3_004,3,B5_betweenness,685.9283459633552,605.2882912076777,-6.388690503618765,-1.0,0.3333333333333333,1.0,1.0,0.7818345045756202,0.9189912449033383,0.9189912449033383
re2tt_scenario_k3_004,3,B6_ppr,605.2882912076777,605.2882912076777,-0.0,1.0,1.0,1.0,1.0,1.0,0.9810698385703218,0.9810698385703218
re2tt_scenario_k3_004,3,B7_classifier,558.1124912270808,605.2882912076777,3.737492320036381,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_004,3,B9_independent,598.2413400043008,605.2882912076777,0.5582931505798517,-0.33333333333333337,0.5,1.0,1.0,0.7818345045756202,0.9541772762747781,0.9541772762747781
re2tt_scenario_k3_004,3,B10_pairwise,558.1124912270808,605.2882912076777,3.737492320036381,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_004,3,B11_closeness,592.6659776506193,605.2882912076777,1.0,0.33333333333333337,0.5,1.0,1.0,0.5277780891659827,0.8818859868111243,0.8818859868111243
re2tt_scenario_k3_004,3,B12_eigenvector,605.2882912076777,605.2882912076777,-0.0,1.0,1.0,1.0,1.0,1.0,0.9810698385703218,0.9810698385703218
re2tt_scenario_k3_005,3,BLAST,429.965007266525,429.965007266525,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_005,3,B1_random,514.6213432685818,429.965007266525,0.24958651315879798,0.33333333333333337,1.0,1.0,1.0,1.0,0.9635166705966067,0.9635166705966067
re2tt_scenario_k3_005,3,B2_severity,429.965007266525,429.965007266525,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_005,3,B3_itil,429.965007266525,429.965007266525,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_005,3,B4_pagerank,514.6213432685818,429.965007266525,0.24958651315879798,0.33333333333333337,1.0,1.0,1.0,1.0,0.9635166705966067,0.9635166705966067
re2tt_scenario_k3_005,3,B5_betweenness,429.965007266525,429.965007266525,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_005,3,B6_ppr,674.7862207832615,429.965007266525,0.7217897196432324,-0.33333333333333337,0.5,1.0,1.0,0.15761456630156057,0.7460409480600376,0.7460409480600376
re2tt_scenario_k3_005,3,B7_classifier,429.965007266525,429.965007266525,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k3_005,3,B9_independent,514.6213432685818,429.965007266525,0.24958651315879798,0.33333333333333337,1.0,1.0,1.0,1.0,0.9635166705966067,0.9635166705966067
