K,BLAST_F,baseline_F,gain
1,253.0,253.0,0.0
2,318.59999999999997,318.59999999999997,0.0
3,343.72,343.72,0.0
4,358.34399999999994,358.34399999999994,0.0
5,368.9488,368.9488,0.0
6,377.21376,377.21376,0.0
8,389.02775039999995,389.02775039999995,0.0
10,396.578198016,396.578198016,0.0
